zeit;1-A001-SW-HF-099-429;2-A001-SW-HF-099-1672;3-A001-SW-HF-100-449;4-A001-SW-HF-100-612;5-A001-SW-HF-100-1719;6-A001-SW-HF-101-723;8-A001-SW-HF-101-3932;9-A001-SW-HF-102-14;11-A001-SW-HF-102-2141;14-A001-SW-HF-103-764;16-A001-SW-HF-103-2822;17-A001-SW-HF-103-3539;19-A004-NO-HF-011-96;20-A004-NO-HF-011-2225;21-A004-NO-HF-011-3247;22-A004-NO-HF-011-4211;23-A004-NO-HF-011-5316;24-A004-NO-HF-S11-400;25-A004-NO-HF-012-107;26-A004-NO-HF-012-1997;27-A004-NO-HF-012-2663;28-A004-NO-HF-013-989;29-A004-NO-HF-013-2589;30-A004-NO-HF-014-432;31-A004-NO-HF-014-1783;32-A004-NO-HF-015-979;33-A004-NO-HF-015-2176;34-A003-NO-HF-027-1379;35-A003-NO-HF-027-2246;36-A003-NO-HF-026-435;38-A003-NO-HF-026-1600;39-A003-NO-HF-025-852;40-A003-NO-HF-025-1808;41-A003-NO-HF-024-786;42-A003-NO-HF-024-930;44-A003-NO-HF-024-2873;45-A003-NO-HF-024-4199;46-A003-NO-HF-023-476;47-A003-NO-HF-023-1778
26.08.2014 12:01:00+00;28;14;51;48;32;44;44;43;39;43;40;40;54;56;55;57;65;54;47;74;72;73;61;71;50;49;39;82;60;85;91;57;36;42;37;55;21;53;38
26.08.2014 12:02:00+00;30;16;50;45;32;39;42;44;40;43;42;38;57;58;52;57;57;52;48;71;68;74;67;72;52;54;40;85;56;85;87;63;36;36;45;55;34;53;41
26.08.2014 12:03:00+00;31;16;52;45;34;43;39;40;39;39;40;38;59;59;58;53;52;45;48;63;64;79;61;72;56;58;40;86;58;85;82;56;39;28;41;59;41;51;43
26.08.2014 12:04:00+00;34;17;52;47;33;44;40;43;35;35;37;36;59;64;56;58;50;49;45;65;64;78;68;69;59;55;38;82;62;89;86;54;48;29;40;62;45;48;47
26.08.2014 12:05:00+00;33;16;58;45;34;47;42;44;30;33;29;33;62;67;61;59;52;50;48;63;63;74;67;72;58;56;41;85;65;91;83;48;42;31;41;58;37;40;47
26.08.2014 12:06:00+00;33;18;58;50;33;44;44;45;29;32;27;29;65;66;64;61;53;51;44;63;63;79;66;69;57;58;39;85;68;98;85;48;43;37;43;54;44;33;51
26.08.2014 12:07:00+00;32;15;59;49;36;53;43;44;32;33;28;26;61;57;67;64;57;52;43;66;63;76;68;71;58;57;39;83;62;93;82;46;47;43;45;47;51;29;53
26.08.2014 12:08:00+00;32;14;54;50;36;53;50;51;36;36;33;28;56;59;60;64;58;58;43;67;64;78;66;71;56;58;37;82;64;92;81;49;53;45;39;44;49;28;51
26.08.2014 12:09:00+00;30;15;56;45;36;56;52;52;38;35;37;32;56;55;54;63;60;58;44;72;66;77;68;72;58;56;37;81;60;91;74;52;49;51;37;37;52;31;48
26.08.2014 12:10:00+00;36;18;56;47;34;48;54;54;38;37;39;34;55;56;56;57;58;51;47;71;70;79;65;72;59;54;40;83;63;97;78;56;41;61;33;36;49;40;47
26.08.2014 12:11:00+00;35;19;61;49;35;49;49;46;38;37;41;35;55;54;53;57;54;51;44;68;69;80;64;70;56;53;43;90;64;99;79;57;38;66;31;28;52;50;48
26.08.2014 12:12:00+00;37;18;61;55;37;45;46;47;37;40;41;36;55;59;55;56;54;50;43;64;65;77;70;72;56;53;46;95;62;95;78;62;38;69;30;27;51;56;51
26.08.2014 12:13:00+00;38;17;61;56;41;47;47;43;39;37;38;35;60;60;56;57;51;51;41;63;61;81;66;73;53;60;46;95;61;97;76;60;37;64;30;26;49;62;51
26.08.2014 12:14:00+00;39;18;57;52;40;54;46;48;39;39;41;32;60;59;59;58;54;49;39;61;60;77;69;71;60;56;46;96;66;106;84;50;30;60;17;37;51;65;51
26.08.2014 12:15:00+00;39;18;58;50;38;57;50;53;39;40;40;36;60;59;59;60;55;51;40;59;62;74;66;72;63;56;42;93;70;106;87;49;28;57;15;53;51;71;49
26.08.2014 12:16:00+00;35;18;63;48;38;54;53;54;40;39;41;36;55;55;56;59;56;50;42;61;61;74;66;72;61;56;41;94;67;97;79;49;21;56;16;68;49;68;52
26.08.2014 12:17:00+00;36;17;64;50;34;49;56;53;38;41;37;35;52;56;55;58;57;52;41;65;62;76;65;71;60;53;39;92;64;93;67;48;18;56;23;75;48;61;53
26.08.2014 12:18:00+00;35;15;67;50;39;44;53;46;40;39;38;32;55;58;55;56;55;50;43;66;63;71;62;71;53;55;43;90;66;95;65;39;17;51;37;73;50;53;54
26.08.2014 12:19:00+00;35;16;63;56;38;50;47;46;38;40;40;33;56;59;57;55;55;49;42;65;67;74;62;70;54;52;43;95;64;103;66;34;25;49;48;73;53;53;51
26.08.2014 12:20:00+00;34;18;59;55;47;55;48;51;39;39;42;37;58;58;56;56;51;50;42;63;65;71;67;68;54;54;39;90;71;107;60;34;41;58;60;71;57;54;49
26.08.2014 12:21:00+00;33;20;57;54;45;63;49;59;41;40;43;38;54;55;54;59;56;51;41;63;62;75;66;68;55;53;38;89;71;109;57;35;52;60;61;57;57;57;50
26.08.2014 12:22:00+00;33;19;61;48;41;59;60;61;41;39;42;37;51;57;52;54;55;50;43;68;64;69;64;67;54;52;39;84;79;110;52;48;62;65;58;51;56;53;49
26.08.2014 12:23:00+00;33;18;62;51;37;51;56;55;40;40;41;39;58;61;51;55;54;42;43;68;65;72;57;68;55;52;40;83;77;102;48;24;60;65;45;49;51;55;55
26.08.2014 12:24:00+00;37;17;61;56;40;50;54;47;38;39;40;36;61;60;60;53;49;46;40;63;64;75;57;63;55;48;43;90;73;95;45;40;55;66;36;56;51;60;56
26.08.2014 12:25:00+00;34;17;61;54;43;58;50;52;37;40;38;35;61;61;61;63;50;48;39;59;58;79;59;63;51;47;43;95;68;93;45;38;46;59;35;57;51;65;58
26.08.2014 12:26:00+00;34;15;58;52;41;62;58;58;41;40;40;33;59;59;62;62;56;59;37;58;57;79;65;64;47;48;44;100;43;73;51;53;28;54;37;52;53;71;55
26.08.2014 12:27:00+00;31;16;59;47;38;58;67;62;43;43;41;35;56;61;59;63;59;54;39;64;60;78;63;71;49;48;44;95;31;72;57;82;41;55;39;56;51;69;49
26.08.2014 12:28:00+00;30;17;50;49;35;51;62;58;41;43;43;39;63;63;58;58;56;54;41;67;66;73;63;67;52;51;40;86;31;68;73;79;41;62;34;65;53;59;48
26.08.2014 12:29:00+00;32;19;54;44;36;51;55;51;40;43;42;39;61;66;63;59;56;49;45;66;64;70;61;68;53;51;42;82;29;61;95;48;42;66;37;77;51;48;49
26.08.2014 12:30:00+00;33;18;51;47;34;46;50;49;40;40;39;39;68;67;63;65;52;54;44;66;62;72;58;67;54;53;38;78;30;55;108;56;42;66;48;72;51;47;52
26.08.2014 12:31:00+00;32;17;59;44;34;46;47;44;38;39;39;38;63;65;67;65;54;55;43;63;64;74;60;64;55;50;39;75;32;54;102;46;45;61;60;62;50;58;52
26.08.2014 12:32:00+00;29;15;54;51;34;46;47;48;39;37;38;37;65;62;62;66;55;57;42;62;64;80;61;66;56;47;34;66;41;53;81;45;56;59;56;45;56;66;52
26.08.2014 12:33:00+00;30;15;50;48;38;52;47;45;39;39;41;38;56;57;62;63;60;58;41;72;67;79;66;64;54;51;34;58;53;54;66;46;62;57;43;44;52;66;55
26.08.2014 12:34:00+00;33;15;45;48;39;59;50;55;45;38;42;36;56;55;54;62;62;61;43;73;66;80;69;73;57;54;34;57;62;60;62;47;58;59;31;54;53;64;57
26.08.2014 12:35:00+00;34;16;48;41;35;60;59;55;42;42;43;38;50;58;58;56;58;52;41;74;72;81;68;71;58;60;34;54;36;73;60;58;44;56;26;70;52;58;55
26.08.2014 12:36:00+00;37;18;53;45;31;57;58;61;41;40;40;32;56;60;55;56;54;48;46;69;72;72;68;72;56;57;34;56;59;82;67;72;32;56;32;72;54;58;53
26.08.2014 12:37:00+00;36;19;59;46;33;56;58;53;40;40;40;27;59;67;60;56;53;44;40;68;67;76;65;72;51;52;30;62;56;87;76;79;31;59;47;63;54;57;53
26.08.2014 12:38:00+00;38;21;58;49;35;55;53;58;42;40;40;27;69;68;60;61;53;49;42;65;63;72;66;70;48;51;31;81;49;88;90;72;35;65;58;59;51;59;58
26.08.2014 12:39:00+00;36;20;61;49;42;64;59;54;44;40;43;30;69;67;67;64;54;53;37;65;62;77;64;70;47;51;31;97;41;84;99;55;46;65;49;45;48;60;55
26.08.2014 12:40:00+00;40;18;63;53;39;70;60;65;42;41;39;34;68;63;71;67;58;58;43;63;64;75;62;68;54;52;41;97;37;77;96;41;54;59;42;60;48;61;53
26.08.2014 12:41:00+00;38;19;66;50;43;68;65;66;44;40;41;35;66;64;68;70;64;58;41;68;67;77;64;68;59;53;44;98;38;65;86;36;49;55;39;61;47;59;54
26.08.2014 12:42:00+00;38;19;67;53;37;68;66;66;43;42;42;38;63;65;66;69;69;61;42;74;70;76;67;73;58;53;43;83;49;53;75;40;43;53;42;61;49;59;58
26.08.2014 12:43:00+00;31;20;62;55;46;65;68;65;42;40;43;36;63;63;63;63;70;57;44;76;74;72;67;70;56;55;42;70;59;54;62;53;39;55;44;61;50;57;55
26.08.2014 12:44:00+00;30;17;56;56;45;74;67;65;41;40;42;28;60;59;62;64;64;59;50;77;76;75;63;76;54;53;36;53;62;65;54;69;44;60;43;59;54;59;55
26.08.2014 12:45:00+00;30;20;54;51;46;71;72;73;42;38;44;21;60;57;58;62;61;52;54;74;73;79;60;66;54;52;34;53;61;74;52;72;45;62;45;59;59;61;52
26.08.2014 12:46:00+00;33;20;56;49;36;71;71;72;40;40;40;20;57;58;61;61;57;54;48;73;71;81;67;72;51;47;24;61;55;80;66;64;45;67;32;61;60;65;53
26.08.2014 12:47:00+00;36;19;55;46;34;65;73;70;40;42;41;19;58;58;56;62;53;50;44;65;64;77;71;74;53;59;29;76;49;79;81;52;48;69;43;54;55;63;53
26.08.2014 12:48:00+00;32;19;59;45;35;63;66;65;41;42;41;19;55;61;59;57;53;50;38;61;62;77;71;78;57;61;36;93;42;76;86;55;48;69;39;59;29;58;52
26.08.2014 12:49:00+00;32;18;58;48;37;66;64;63;41;43;44;21;59;60;55;58;53;47;38;62;60;70;64;75;56;63;43;98;36;70;75;60;48;66;35;65;28;54;53
26.08.2014 12:50:00+00;30;18;58;49;43;66;59;63;42;40;41;22;59;60;58;58;54;46;39;62;61;71;58;68;62;56;47;92;38;62;66;61;42;57;41;67;52;57;59
26.08.2014 12:51:00+00;32;16;55;51;39;68;61;66;39;39;40;21;63;58;60;60;49;47;39;61;61;72;57;62;56;49;42;84;44;58;72;62;41;51;50;60;57;62;60
26.08.2014 12:52:00+00;34;17;55;49;41;64;62;65;40;36;39;20;58;61;61;62;54;50;41;59;59;74;59;63;53;44;39;68;50;62;75;55;42;54;53;51;57;71;58
26.08.2014 12:53:00+00;35;20;53;47;39;63;64;63;40;38;39;19;61;60;59;62;57;54;38;63;59;78;63;71;46;47;33;59;50;72;83;49;47;63;47;55;57;62;54
26.08.2014 12:54:00+00;35;22;57;50;41;62;63;61;43;40;39;19;59;58;61;58;61;53;40;66;63;72;67;74;51;51;32;55;48;79;81;46;49;67;38;62;56;55;50
26.08.2014 12:55:00+00;38;21;59;49;39;62;60;60;46;44;44;24;58;58;59;62;55;57;42;68;66;78;65;75;55;56;29;63;47;75;76;42;42;65;34;74;54;51;53
26.08.2014 12:56:00+00;36;19;64;51;37;63;59;62;44;45;43;28;54;55;57;60;60;52;45;67;64;74;66;70;55;51;29;78;48;69;66;48;36;59;40;69;50;57;53
26.08.2014 12:57:00+00;36;19;67;54;37;60;60;62;44;43;44;30;53;62;51;61;56;55;45;68;66;78;65;72;49;55;35;83;55;67;60;56;37;58;52;59;43;64;53
26.08.2014 12:58:00+00;33;18;66;53;44;61;61;59;41;40;38;26;56;58;56;53;56;48;43;65;62;75;68;69;51;51;41;79;57;73;63;62;42;55;57;55;45;62;51
26.08.2014 12:59:00+00;32;19;62;55;46;60;61;61;42;40;42;23;58;58;58;57;52;49;39;62;65;80;70;73;53;53;41;72;51;77;67;57;51;59;46;62;49;65;53
26.08.2014 13:00:00+00;32;15;60;53;45;62;62;60;44;41;42;24;57;54;59;61;55;50;40;59;60;77;67;73;59;51;34;76;41;74;75;46;45;60;33;71;63;64;54
26.08.2014 13:01:00+00;32;15;59;54;45;62;58;63;42;43;45;24;56;58;58;59;57;53;39;64;62;83;68;76;56;54;33;88;37;65;77;39;37;61;34;65;62;61;56
26.08.2014 13:02:00+00;33;15;59;50;45;65;57;61;41;42;41;25;58;62;58;58;58;54;43;66;65;77;68;75;56;52;37;92;38;58;68;53;31;64;42;61;62;58;54
26.08.2014 13:03:00+00;33;16;59;50;40;61;61;63;38;42;38;27;58;57;61;59;58;52;40;66;65;78;68;75;52;51;47;73;40;56;55;64;42;66;46;59;58;53;58
26.08.2014 13:04:00+00;34;17;60;49;38;58;64;62;38;40;40;27;54;52;56;64;61;57;40;66;67;71;65;71;48;53;42;59;46;59;58;66;46;69;42;61;58;53;57
26.08.2014 13:05:00+00;32;17;60;51;37;58;58;59;41;40;43;31;50;50;52;55;65;52;39;71;69;72;61;70;51;53;33;55;49;59;73;39;51;67;39;55;56;58;57
26.08.2014 13:06:00+00;35;19;58;52;39;59;55;56;40;44;45;33;50;52;48;55;59;48;44;71;71;74;61;64;52;51;27;66;48;69;92;38;43;66;41;55;57;65;55
26.08.2014 13:07:00+00;33;19;57;52;40;62;58;60;40;46;42;32;53;53;50;49;56;42;46;68;63;83;61;65;49;51;30;65;42;69;80;49;43;67;42;57;58;67;49
26.08.2014 13:08:00+00;36;19;59;51;44;65;61;65;41;47;44;32;52;52;52;53;47;42;42;64;64;85;72;72;49;52;35;63;45;71;63;63;44;66;39;64;54;67;47
26.08.2014 13:09:00+00;32;17;60;50;43;68;65;69;40;43;42;34;50;54;49;51;50;45;41;60;59;83;72;79;52;62;31;70;52;63;61;66;41;63;38;68;51;65;49
26.08.2014 13:10:00+00;33;16;61;50;44;70;67;68;44;43;43;39;51;52;50;51;49;43;41;63;65;74;71;80;60;60;35;76;59;66;80;58;40;56;41;74;48;65;53
26.08.2014 13:11:00+00;29;18;59;52;40;63;61;68;42;44;40;35;53;61;49;50;50;43;42;56;55;76;63;74;61;63;34;80;55;76;89;34;38;51;48;75;48;64;51
26.08.2014 13:12:00+00;31;18;57;50;38;63;58;63;41;41;41;28;62;68;53;51;48;44;38;59;58;73;66;71;59;57;38;72;48;87;88;50;42;50;55;66;48;61;52
26.08.2014 13:13:00+00;31;20;55;51;34;59;60;62;40;39;40;25;67;67;65;56;52;47;34;56;54;75;64;72;55;58;35;77;39;86;68;50;48;50;54;61;49;55;52
26.08.2014 13:14:00+00;32;17;57;47;38;56;64;56;40;39;39;24;66;68;66;67;57;53;36;63;61;74;68;70;54;53;35;81;48;71;60;53;57;52;48;56;51;48;55
26.08.2014 13:15:00+00;33;16;55;51;39;53;57;54;44;39;42;24;63;61;66;66;65;58;40;67;65;77;65;70;52;54;37;95;52;58;61;64;52;50;38;61;51;50;57
26.08.2014 13:16:00+00;28;17;58;45;39;53;49;51;41;41;39;21;57;59;59;68;69;58;42;79;70;78;67;72;54;51;43;87;58;69;57;75;43;52;41;55;54;50;58
26.08.2014 13:17:00+00;29;17;52;48;33;55;51;52;42;40;40;23;58;55;56;61;70;57;43;83;83;80;67;74;55;55;45;75;52;76;79;82;35;55;44;46;54;52;58
26.08.2014 13:18:00+00;33;20;51;45;36;56;49;54;39;41;37;27;55;59;55;58;65;50;54;85;84;84;69;74;56;54;38;56;51;85;93;73;40;57;43;44;56;52;55
26.08.2014 13:19:00+00;36;18;51;45;36;52;52;56;43;43;43;32;59;58;56;56;61;51;55;76;82;94;72;75;56;55;29;66;46;78;104;62;44;58;36;49;55;53;55
26.08.2014 13:20:00+00;35;18;57;41;32;53;49;52;45;43;46;32;60;62;58;59;57;50;54;69;67;96;79;83;54;58;28;80;47;75;98;35;42;64;28;55;53;54;54
26.08.2014 13:21:00+00;34;17;61;45;34;52;51;54;45;46;46;32;62;57;58;63;54;55;44;65;65;98;80;88;58;63;37;90;51;66;86;43;36;67;34;56;50;53;58
26.08.2014 13:22:00+00;31;20;63;50;38;54;45;55;48;44;43;31;53;55;59;61;51;52;43;64;63;88;83;91;61;68;45;82;59;72;65;53;31;61;39;58;53;55;57
26.08.2014 13:23:00+00;31;18;63;54;40;58;47;57;45;44;43;36;52;57;53;59;49;53;44;61;64;79;78;87;68;69;40;75;65;73;52;59;38;56;43;61;55;61;54
26.08.2014 13:24:00+00;35;16;67;54;40;57;57;59;44;42;42;39;59;64;56;53;49;47;43;64;62;77;73;81;69;70;37;73;65;82;49;61;26;50;38;59;53;65;55
26.08.2014 13:25:00+00;38;15;65;55;42;56;60;56;41;42;44;40;65;68;59;56;51;47;42;64;58;83;70;76;73;62;33;84;58;87;68;53;42;59;41;59;53;64;54
26.08.2014 13:26:00+00;40;16;68;55;41;61;58;56;48;41;43;41;66;67;67;62;56;46;38;67;61;84;71;76;63;59;38;84;50;90;77;39;40;60;39;67;54;56;58
26.08.2014 13:27:00+00;34;17;65;57;42;62;56;61;48;46;50;38;61;57;64;69;58;56;39;66;63;80;74;80;62;58;39;84;43;86;79;38;41;62;43;68;55;57;55
26.08.2014 13:28:00+00;30;17;65;55;45;65;58;60;48;48;46;41;56;55;59;66;65;59;43;70;65;75;71;80;64;61;36;85;35;74;64;43;43;64;45;66;51;61;54
26.08.2014 13:29:00+00;29;19;65;57;43;58;58;64;44;48;46;41;55;53;57;60;66;59;42;77;73;80;68;79;68;59;38;92;40;63;53;50;44;63;52;54;63;67;55
26.08.2014 13:30:00+00;31;18;68;55;43;57;59;57;46;45;45;40;53;56;54;57;65;49;50;82;77;80;70;73;68;57;42;90;43;59;44;49;32;54;51;55;57;67;55
26.08.2014 13:31:00+00;33;21;70;57;41;58;57;60;42;44;43;40;57;59;55;55;60;47;51;81;82;86;71;81;59;58;46;80;41;63;42;53;58;53;45;58;53;62;55
26.08.2014 13:32:00+00;39;21;66;57;44;59;57;57;43;43;45;38;58;61;56;58;55;47;53;74;72;89;76;78;61;59;39;71;41;66;51;49;52;55;35;72;53;57;57
26.08.2014 13:33:00+00;38;21;64;56;44;65;60;60;43;41;42;39;58;57;58;59;55;48;46;66;65;94;74;80;59;60;30;65;40;64;62;57;43;61;38;77;53;47;55
26.08.2014 13:34:00+00;38;17;63;55;44;62;59;61;43;43;45;38;54;57;57;57;56;53;40;68;66;92;77;81;61;57;28;72;38;61;66;58;36;64;47;67;54;48;55
26.08.2014 13:35:00+00;34;17;67;54;40;62;60;62;46;42;45;39;53;54;55;59;59;52;41;67;65;83;79;85;59;67;31;66;35;59;71;66;41;57;63;57;54;52;56
26.08.2014 13:36:00+00;35;16;67;54;41;56;58;60;47;44;47;42;54;57;54;55;59;52;43;74;69;77;75;86;66;68;33;65;35;58;73;60;50;54;53;47;54;62;55
26.08.2014 13:37:00+00;35;16;64;55;41;61;57;54;46;42;46;41;55;61;55;56;58;51;47;74;72;82;67;78;70;70;30;60;40;52;80;52;56;53;41;54;56;62;52
26.08.2014 13:38:00+00;35;17;61;57;44;60;55;58;43;45;46;40;60;65;56;54;56;51;48;72;70;87;67;72;68;58;29;61;40;55;83;46;44;61;27;58;56;63;50
26.08.2014 13:39:00+00;33;19;59;49;41;64;53;60;45;42;42;41;62;67;64;56;55;50;41;65;65;88;74;75;60;58;27;62;43;59;72;56;32;64;30;65;52;50;53
26.08.2014 13:40:00+00;33;18;58;49;38;57;61;64;44;42;41;39;64;62;65;63;52;53;39;63;64;80;74;87;63;61;27;56;44;64;63;67;24;58;34;67;51;53;54
26.08.2014 13:41:00+00;33;16;60;50;41;59;56;59;46;40;42;38;62;62;63;65;60;53;40;64;64;81;73;85;64;68;25;59;48;60;55;78;29;53;39;63;56;58;56
26.08.2014 13:42:00+00;32;15;59;55;40;61;54;57;47;43;47;36;59;60;61;64;57;55;42;73;70;80;65;79;70;63;25;65;52;55;78;65;37;57;42;57;58;71;55
26.08.2014 13:43:00+00;33;19;57;50;42;61;55;60;49;46;48;36;59;63;59;64;64;54;46;69;68;81;66;71;66;56;28;67;47;55;94;45;44;66;38;46;58;66;58
26.08.2014 13:44:00+00;34;20;59;47;35;62;57;62;50;47;50;37;60;61;60;60;62;52;43;74;73;82;64;75;57;54;29;62;42;62;96;42;47;69;40;47;58;60;60
26.08.2014 13:45:00+00;33;20;61;46;37;57;63;59;47;48;47;40;62;65;59;60;59;52;47;71;71;79;69;74;58;57;28;65;40;59;81;40;45;67;34;56;58;57;59
26.08.2014 13:46:00+00;35;16;61;51;37;57;55;56;44;42;46;43;64;64;62;59;56;54;44;69;71;81;72;81;55;60;29;69;44;58;68;42;44;63;29;69;58;68;56
26.08.2014 13:47:00+00;32;15;60;53;41;56;55;53;46;43;46;41;65;68;65;63;58;55;42;65;64;79;71;76;62;60;30;76;52;58;49;61;37;63;31;68;50;70;60
26.08.2014 13:48:00+00;33;16;57;56;39;56;52;58;49;44;48;41;67;67;63;66;61;58;40;71;65;74;69;80;60;59;33;69;58;66;51;72;33;62;38;63;49;68;57
26.08.2014 13:49:00+00;31;18;63;53;40;53;54;57;51;49;49;38;67;71;66;65;64;56;41;72;68;72;63;75;65;60;30;66;55;71;51;65;36;55;48;63;50;68;56
26.08.2014 13:50:00+00;35;18;67;55;40;55;49;55;47;45;47;34;71;70;65;68;63;58;42;76;74;76;62;69;65;55;29;64;48;82;80;56;43;56;44;70;58;61;51
26.08.2014 13:51:00+00;32;18;71;57;41;57;49;56;44;45;43;30;66;66;68;67;65;60;45;73;72;81;64;68;66;52;30;67;38;83;89;45;51;57;39;71;59;60;53
26.08.2014 13:52:00+00;33;15;72;59;44;59;54;57;42;42;44;29;64;62;64;73;66;58;49;77;74;82;69;71;60;56;31;77;32;72;79;40;46;66;43;71;56;57;53
26.08.2014 13:53:00+00;29;16;73;61;44;57;54;58;46;43;42;27;55;59;62;65;66;58;53;81;77;88;69;79;61;61;32;86;38;61;65;37;43;66;51;66;55;54;56
26.08.2014 13:54:00+00;30;13;73;60;44;56;54;53;45;43;43;26;60;64;55;64;66;58;54;79;75;88;74;79;61;61;36;88;46;56;56;42;44;65;56;67;54;52;55
26.08.2014 13:55:00+00;33;17;69;61;41;52;52;55;46;40;41;20;64;64;61;58;64;55;51;79;77;96;76;83;62;62;39;73;53;62;50;54;52;62;51;63;53;57;58
26.08.2014 13:56:00+00;35;18;65;57;43;53;55;51;42;40;42;23;64;64;59;66;65;56;54;76;71;91;82;83;62;60;35;59;50;69;46;61;55;62;43;58;52;64;55
26.08.2014 13:57:00+00;39;20;62;55;44;52;56;53;46;39;44;29;65;67;63;65;65;58;49;76;78;96;78;88;60;66;30;58;46;73;56;59;52;58;43;49;54;69;56
26.08.2014 13:58:00+00;35;20;63;52;42;52;55;51;49;43;46;33;66;65;62;65;64;62;50;78;74;92;82;85;63;68;24;58;44;71;70;55;46;58;39;50;54;69;53
26.08.2014 13:59:00+00;38;21;60;52;35;52;53;53;48;43;49;34;63;63;65;66;63;58;48;78;78;92;77;87;65;70;25;65;39;67;83;66;43;60;37;64;54;72;53
26.08.2014 14:00:00+00;37;18;63;50;37;47;51;51;45;46;45;37;61;63;62;66;63;58;50;80;77;87;81;84;66;68;24;69;35;63;76;71;36;61;28;78;54;60;51
26.08.2014 14:01:00+00;36;18;61;53;35;49;44;48;45;44;44;37;64;65;60;63;64;56;51;81;77;86;76;88;63;65;30;83;34;59;69;67;33;57;33;78;55;54;56
26.08.2014 14:02:00+00;32;16;62;54;41;49;50;47;45;44;42;32;64;65;64;60;64;53;54;75;74;87;76;84;64;67;36;74;38;57;75;56;27;54;43;74;57;53;56
26.08.2014 14:03:00+00;30;18;60;55;39;51;51;50;48;44;47;23;65;63;63;66;63;56;51;73;73;91;72;81;65;64;39;71;45;52;81;50;35;57;54;60;60;56;61
26.08.2014 14:04:00+00;33;18;61;54;41;51;53;48;47;45;45;19;61;67;65;66;65;56;49;70;67;88;77;82;66;62;34;60;51;47;77;48;44;63;54;53;61;55;62
26.08.2014 14:05:00+00;33;19;65;55;39;52;49;52;44;45;44;19;65;64;64;65;65;58;44;74;69;88;75;84;66;64;27;57;51;55;68;42;49;68;45;51;65;49;59
26.08.2014 14:06:00+00;34;17;68;54;42;52;51;48;44;44;41;17;62;66;63;65;68;53;48;76;72;84;75;82;63;66;23;53;53;61;58;38;49;74;33;58;60;56;60
26.08.2014 14:07:00+00;36;17;68;55;45;55;50;53;44;43;43;20;63;65;62;62;65;56;46;75;77;88;72;81;61;62;24;54;55;70;69;40;40;71;29;59;61;58;60
26.08.2014 14:08:00+00;37;15;67;53;45;58;54;53;47;42;43;24;65;66;63;65;59;56;51;76;79;92;76;78;56;59;24;66;56;74;45;56;35;66;34;56;57;70;61
26.08.2014 14:09:00+00;35;19;68;52;42;62;53;59;43;43;43;31;62;65;64;63;62;60;48;74;72;92;78;85;54;61;27;74;45;80;49;69;29;63;36;53;58;75;60
26.08.2014 14:10:00+00;36;19;68;53;41;56;57;58;45;42;44;33;63;62;60;66;65;61;47;77;75;94;78;86;54;66;33;74;43;75;56;72;35;59;35;59;60;77;59
26.08.2014 14:11:00+00;37;18;65;55;40;56;55;56;46;43;43;31;58;66;63;61;68;58;49;78;76;90;78;88;59;68;35;78;38;67;75;62;38;61;32;68;60;67;59
26.08.2014 14:12:00+00;37;14;61;53;45;58;50;53;47;43;47;29;65;63;60;62;62;53;47;80;80;94;78;85;64;66;38;84;40;60;87;48;38;65;38;80;61;57;57
26.08.2014 14:13:00+00;35;15;60;53;41;59;56;57;44;43;44;29;65;64;66;61;58;53;51;71;73;87;81;84;65;64;38;90;36;66;86;40;34;66;47;73;60;51;55
26.08.2014 14:14:00+00;34;16;60;54;40;58;59;57;43;42;44;27;66;63;64;64;60;59;47;69;69;90;79;86;61;62;39;81;34;67;76;37;37;69;55;62;62;59;58
26.08.2014 14:15:00+00;35;18;60;56;40;54;55;56;44;40;42;26;65;70;65;64;65;56;45;76;71;86;76;85;60;65;36;71;41;63;60;44;47;66;53;49;61;66;59
26.08.2014 14:16:00+00;34;16;63;56;44;57;53;52;47;36;43;26;69;68;64;66;67;56;47;77;77;88;78;87;56;63;29;66;47;58;44;48;53;67;40;53;58;68;61
26.08.2014 14:17:00+00;36;17;61;57;42;58;52;57;49;35;47;28;68;70;68;66;69;57;46;81;79;90;76;86;53;61;32;66;55;58;42;44;51;67;31;62;54;65;59
26.08.2014 14:18:00+00;37;15;60;55;43;61;59;58;49;32;46;26;67;67;70;70;66;63;50;79;83;92;78;84;51;63;29;64;51;67;50;42;41;64;27;76;54;61;60
26.08.2014 14:19:00+00;36;16;58;56;41;57;58;62;47;34;46;23;68;69;67;68;64;63;50;82;80;97;75;83;53;59;30;61;47;75;60;51;35;59;36;77;51;66;60
26.08.2014 14:20:00+00;32;15;60;54;42;56;60;55;45;33;42;20;68;71;67;69;65;61;53;79;77;94;80;84;58;56;24;59;41;80;60;71;35;56;46;70;54;75;59
26.08.2014 14:21:00+00;33;18;63;55;39;54;56;56;45;40;41;20;71;74;66;68;69;61;51;78;76;96;81;88;60;55;23;68;37;71;56;73;43;54;53;64;56;74;51
26.08.2014 14:22:00+00;36;20;68;54;41;52;54;50;43;43;38;21;72;74;72;68;68;59;49;78;74;93;80;85;57;51;27;75;32;62;68;63;52;63;54;67;57;60;52
26.08.2014 14:23:00+00;40;24;70;55;42;54;54;54;44;42;39;20;69;68;72;73;68;61;51;78;77;91;80;84;58;52;33;77;31;53;80;50;58;64;50;79;58;46;54
