|1x3 Cross validator
less-200DM, 18, critical, new-car, 1056, less100DM, over-seven, 3, single-male, guarantor, 3, real-estate, 30, bank, own, 2, skilled, 1, yes, yes, bad.
no-account, 24, critical, radio-tv, 2578, over1000DM, over-seven, 2, single-male, none, 2, car, 34, none, own, 1, skilled, 1, yes, yes, good.
over-200DM, 24, duly-till-now, furniture, 1925, less100DM, four-years, 2, single-male, none, 2, real-estate, 26, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 9, duly-till-now, furniture, 959, less100DM, four-years, 1, female-divorced, none, 2, car, 29, none, own, 1, skilled, 1, yes, no, bad.
no-account, 48, critical, radio-tv, 3578, unknown, over-seven, 4, single-male, none, 1, real-estate, 47, none, own, 1, skilled, 1, no, yes, good.
no-account, 9, duly-till-now, new-car, 3577, less500DM, four-years, 1, single-male, guarantor, 2, real-estate, 26, none, rent, 1, skilled, 2, yes, no, good.
less-200DM, 24, duly-till-now, radio-tv, 2039, less100DM, one-year, 1, married-male, none, 1, building-society, 22, none, own, 1, skilled, 1, no, yes, bad.
no-account, 24, delay, new-car, 717, unknown, over-seven, 4, married-male, none, 4, car, 54, none, own, 2, skilled, 1, no, yes, good.
0DM, 18, duly-till-now, furniture, 3650, less100DM, one-year, 1, female-divorced, none, 4, car, 22, none, rent, 1, skilled, 1, yes, yes, good.
no-account, 48, duly-till-now, business, 4844, less100DM, unemployed, 3, single-male, none, 2, car, 33, bank, rent, 1, management, 1, no, yes, bad.
no-account, 12, duly-till-now, furniture, 1768, less100DM, four-years, 3, single-male, none, 2, real-estate, 24, none, rent, 1, unskilled-resident, 1, yes, yes, good.
0DM, 36, duly-till-now, used-car, 8229, less100DM, four-years, 2, single-male, none, 2, building-society, 26, none, own, 1, skilled, 2, yes, yes, bad.
less-200DM, 18, duly-till-now, new-car, 5866, less500DM, four-years, 2, single-male, none, 2, car, 30, none, own, 2, skilled, 1, no, yes, good.
less-200DM, 7, duly-till-now, radio-tv, 2415, less100DM, four-years, 3, single-male, guarantor, 2, real-estate, 34, none, own, 1, skilled, 1, yes, yes, good.
0DM, 21, duly-till-now, radio-tv, 3357, over1000DM, one-year, 4, female-divorced, none, 2, car, 29, bank, own, 1, skilled, 1, yes, yes, good.
less-200DM, 39, delay, education, 11760, less500DM, seven-years, 2, single-male, none, 3, none, 32, none, rent, 1, skilled, 1, no, yes, good.
0DM, 12, all-paid-duly, new-car, 1082, less100DM, four-years, 4, single-male, none, 4, car, 48, bank, own, 2, skilled, 1, yes, yes, bad.
less-200DM, 18, duly-till-now, new-car, 6260, less100DM, seven-years, 3, single-male, none, 3, real-estate, 28, none, rent, 1, unskilled-resident, 1, yes, yes, good.
less-200DM, 18, duly-till-now, used-car, 12976, less100DM, unemployed, 3, female-divorced, none, 4, none, 38, none, free, 1, management, 1, no, yes, bad.
0DM, 12, duly-till-now, education, 1200, unknown, four-years, 4, female-divorced, none, 4, building-society, 23, bank, rent, 1, skilled, 1, no, yes, good.
less-200DM, 42, critical, business, 5954, less100DM, seven-years, 2, female-divorced, none, 1, real-estate, 41, bank, own, 2, unskilled-resident, 1, yes, yes, good.
less-200DM, 12, duly-till-now, radio-tv, 1534, less100DM, one-year, 1, married-male, none, 1, real-estate, 23, none, rent, 1, skilled, 1, yes, yes, bad.
no-account, 15, delay, used-car, 3594, less100DM, one-year, 1, female-divorced, none, 2, building-society, 46, none, own, 2, unskilled-resident, 1, yes, yes, good.
less-200DM, 24, duly-till-now, used-car, 12579, less100DM, over-seven, 4, female-divorced, none, 2, none, 44, none, free, 1, management, 1, no, yes, bad.
over-200DM, 24, duly-till-now, furniture, 3749, less100DM, one-year, 2, female-divorced, none, 4, car, 26, none, own, 1, skilled, 1, yes, yes, good.
no-account, 11, duly-till-now, business, 2142, over1000DM, over-seven, 1, male-divorced, none, 2, real-estate, 28, none, own, 1, skilled, 1, no, yes, good.
less-200DM, 8, duly-till-now, radio-tv, 760, less100DM, seven-years, 4, female-divorced, guarantor, 2, real-estate, 44, none, own, 1, unskilled-resident, 1, yes, yes, good.
0DM, 6, critical, new-car, 1361, less100DM, one-year, 2, single-male, none, 4, real-estate, 40, none, own, 1, unskilled-resident, 2, yes, no, good.
no-account, 21, duly-till-now, used-car, 5248, unknown, four-years, 1, single-male, none, 3, car, 26, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 30, critical, new-car, 2181, unknown, over-seven, 4, single-male, none, 4, real-estate, 36, none, own, 2, skilled, 1, yes, yes, good.
0DM, 12, duly-till-now, radio-tv, 709, less100DM, over-seven, 4, single-male, none, 4, real-estate, 57, stores, own, 1, unskilled-resident, 1, yes, yes, bad.
no-account, 11, critical, new-car, 1393, less100DM, one-year, 4, female-divorced, none, 4, car, 35, none, own, 2, management, 1, yes, yes, good.
less-200DM, 12, duly-till-now, radio-tv, 2930, less100DM, seven-years, 2, female-divorced, none, 1, real-estate, 27, none, own, 1, skilled, 1, yes, yes, good.
no-account, 10, duly-till-now, new-car, 1597, less1000DM, four-years, 3, single-male, none, 2, none, 40, none, rent, 1, unskilled-resident, 2, yes, no, good.
less-200DM, 18, critical, business, 1887, unknown, four-years, 4, married-male, none, 4, real-estate, 28, bank, own, 2, skilled, 1, yes, yes, good.
less-200DM, 12, critical, radio-tv, 3573, less100DM, four-years, 1, female-divorced, none, 1, real-estate, 23, none, own, 1, unskilled-resident, 1, yes, yes, good.
no-account, 15, duly-till-now, education, 4623, less500DM, four-years, 3, single-male, none, 2, building-society, 40, none, own, 1, management, 1, no, yes, bad.
0DM, 36, duly-till-now, new-car, 9271, less100DM, seven-years, 2, single-male, none, 1, car, 24, none, own, 1, skilled, 1, no, yes, bad.
0DM, 18, duly-till-now, education, 750, less100DM, unemployed, 4, female-divorced, none, 1, real-estate, 27, none, own, 1, unemployed-non-resident, 1, yes, yes, bad.
no-account, 18, critical, radio-tv, 1098, less100DM, unemployed, 4, female-divorced, none, 4, car, 65, none, own, 2, unemployed-non-resident, 1, yes, yes, good.
no-account, 24, duly-till-now, business, 4591, over1000DM, four-years, 2, single-male, none, 3, building-society, 54, none, own, 3, management, 1, no, yes, bad.
no-account, 6, duly-till-now, radio-tv, 1595, less100DM, seven-years, 3, single-male, none, 2, building-society, 51, none, own, 1, skilled, 2, yes, yes, good.
0DM, 24, duly-till-now, new-car, 3123, less100DM, one-year, 4, female-divorced, none, 1, building-society, 27, none, own, 1, skilled, 1, yes, yes, bad.
no-account, 24, critical, furniture, 5150, less100DM, over-seven, 4, single-male, none, 4, car, 33, none, own, 1, skilled, 1, no, yes, good.
less-200DM, 9, duly-till-now, new-car, 1549, unknown, one-year, 4, single-male, none, 2, real-estate, 35, none, own, 1, unemployed-non-resident, 1, yes, yes, good.
less-200DM, 30, delay, business, 2503, less500DM, over-seven, 4, single-male, none, 2, building-society, 41, stores, own, 2, skilled, 1, yes, yes, good.
no-account, 6, duly-till-now, radio-tv, 518, less100DM, four-years, 3, female-divorced, none, 1, real-estate, 29, none, own, 1, skilled, 1, yes, yes, good.
0DM, 15, delay, furniture, 3643, less100DM, over-seven, 1, female-divorced, none, 4, building-society, 27, none, own, 2, unskilled-resident, 1, yes, yes, good.
less-200DM, 39, critical, radio-tv, 4933, less100DM, seven-years, 2, single-male, guarantor, 2, real-estate, 25, none, own, 2, skilled, 1, yes, yes, bad.
less-200DM, 9, duly-till-now, radio-tv, 1670, less100DM, one-year, 4, female-divorced, none, 2, car, 22, none, own, 1, skilled, 1, no, yes, bad.
0DM, 10, duly-till-now, radio-tv, 2315, less100DM, over-seven, 3, single-male, none, 4, real-estate, 52, none, own, 1, unskilled-resident, 1, yes, yes, good.
less-200DM, 15, duly-till-now, radio-tv, 1444, unknown, one-year, 4, single-male, none, 1, building-society, 23, none, own, 1, skilled, 1, yes, yes, good.
0DM, 6, critical, new-car, 4716, unknown, one-year, 1, single-male, none, 3, real-estate, 44, none, own, 2, unskilled-resident, 2, yes, yes, good.
0DM, 13, critical, business, 1797, less100DM, one-year, 3, single-male, none, 1, building-society, 28, bank, own, 2, unskilled-resident, 1, yes, yes, good.
less-200DM, 24, critical, used-car, 7758, over1000DM, over-seven, 2, female-divorced, none, 4, none, 29, none, rent, 1, skilled, 1, yes, yes, good.
0DM, 15, duly-till-now, new-car, 1721, less100DM, one-year, 2, single-male, none, 3, real-estate, 36, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 24, duly-till-now, radio-tv, 2896, less500DM, one-year, 2, single-male, none, 1, car, 29, none, own, 1, skilled, 1, yes, yes, good.
no-account, 24, critical, radio-tv, 2223, less500DM, over-seven, 4, single-male, none, 4, building-society, 52, bank, own, 2, skilled, 1, yes, yes, good.
no-account, 48, delay, radio-tv, 12749, less1000DM, seven-years, 4, single-male, none, 1, car, 37, none, own, 1, management, 1, no, yes, good.
0DM, 15, duly-till-now, new-car, 3959, less100DM, four-years, 3, female-divorced, none, 2, building-society, 29, none, own, 1, skilled, 1, no, yes, bad.
no-account, 18, delay, business, 2169, less100DM, four-years, 4, married-male, none, 2, car, 28, none, own, 1, skilled, 1, no, yes, bad.
no-account, 36, critical, used-car, 11054, unknown, four-years, 4, single-male, none, 2, car, 30, none, own, 1, management, 1, no, yes, good.
no-account, 24, duly-till-now, furniture, 2835, less1000DM, over-seven, 3, single-male, none, 4, building-society, 53, none, own, 1, skilled, 1, yes, yes, good.
0DM, 6, critical, radio-tv, 338, less1000DM, over-seven, 4, single-male, none, 4, car, 52, none, own, 2, skilled, 1, yes, yes, good.
no-account, 36, critical, radio-tv, 9566, less100DM, four-years, 2, female-divorced, none, 2, car, 31, stores, own, 2, skilled, 1, yes, yes, good.
no-account, 60, duly-till-now, new-car, 10366, less100DM, over-seven, 2, single-male, none, 4, building-society, 42, none, own, 1, management, 1, no, yes, good.
less-200DM, 9, bank-paid-duly, used-car, 5129, less100DM, over-seven, 2, female-divorced, none, 4, none, 74, bank, free, 1, management, 2, no, yes, bad.
0DM, 10, critical, furniture, 2132, unknown, one-year, 2, female-divorced, co-applicant, 3, real-estate, 27, none, rent, 2, skilled, 1, yes, no, good.
no-account, 36, critical, used-car, 5842, less100DM, over-seven, 2, single-male, none, 2, building-society, 35, none, own, 2, skilled, 2, no, yes, good.
less-200DM, 15, duly-till-now, radio-tv, 802, less100DM, over-seven, 4, single-male, none, 3, car, 37, none, own, 1, skilled, 2, yes, yes, bad.
no-account, 24, critical, new-car, 2463, less500DM, seven-years, 4, married-male, none, 3, building-society, 27, none, own, 2, skilled, 1, no, yes, good.
no-account, 24, critical, radio-tv, 2872, less500DM, over-seven, 3, single-male, none, 4, real-estate, 36, none, own, 1, skilled, 2, no, yes, good.
0DM, 24, duly-till-now, radio-tv, 1823, less100DM, unemployed, 4, single-male, none, 2, car, 30, stores, own, 1, management, 2, yes, yes, bad.
0DM, 18, delay, education, 8471, unknown, four-years, 1, female-divorced, none, 2, car, 23, none, rent, 2, skilled, 1, no, yes, good.
0DM, 6, critical, new-car, 3676, less100DM, four-years, 1, single-male, none, 3, real-estate, 37, none, rent, 3, skilled, 2, yes, yes, good.
no-account, 18, duly-till-now, furniture, 1984, less100DM, four-years, 4, single-male, none, 4, none, 47, bank, free, 2, skilled, 1, yes, yes, good.
no-account, 36, critical, new-car, 7855, less100DM, four-years, 4, female-divorced, none, 2, real-estate, 25, stores, own, 2, skilled, 1, no, yes, bad.
0DM, 45, all-paid-duly, business, 11816, less100DM, over-seven, 2, single-male, none, 4, car, 29, none, rent, 2, skilled, 1, yes, yes, bad.
no-account, 36, duly-till-now, radio-tv, 2394, unknown, four-years, 4, female-divorced, none, 4, car, 25, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 20, delay, used-car, 7057, unknown, seven-years, 3, single-male, none, 4, building-society, 36, bank, rent, 2, management, 2, no, yes, good.
0DM, 6, critical, furniture, 3384, less100DM, four-years, 1, male-divorced, none, 4, real-estate, 44, none, rent, 1, management, 1, no, yes, bad.
less-200DM, 48, all-paid-duly, business, 12204, unknown, four-years, 2, single-male, none, 2, car, 48, bank, own, 1, management, 1, no, yes, good.
less-200DM, 12, duly-till-now, furniture, 951, less500DM, one-year, 4, female-divorced, none, 4, car, 27, bank, rent, 4, skilled, 1, yes, yes, bad.
no-account, 12, duly-till-now, new-car, 2390, unknown, over-seven, 4, single-male, none, 3, car, 50, none, own, 1, skilled, 1, no, yes, good.
0DM, 24, duly-till-now, new-car, 1285, unknown, seven-years, 4, female-divorced, none, 4, none, 32, none, rent, 1, skilled, 1, yes, yes, bad.
no-account, 9, critical, education, 1244, unknown, over-seven, 4, female-divorced, none, 4, building-society, 41, none, rent, 2, unskilled-resident, 1, yes, yes, good.
0DM, 36, duly-till-now, education, 1977, unknown, over-seven, 4, single-male, none, 4, none, 40, none, own, 1, management, 1, no, yes, bad.
no-account, 15, duly-till-now, furniture, 2708, less100DM, one-year, 2, single-male, none, 3, building-society, 27, bank, own, 2, unskilled-resident, 1, yes, yes, good.
less-200DM, 7, duly-till-now, radio-tv, 2576, less100DM, four-years, 2, single-male, guarantor, 2, real-estate, 35, none, own, 1, skilled, 1, yes, yes, good.
no-account, 6, critical, furniture, 1221, unknown, four-years, 1, married-male, none, 2, building-society, 27, none, own, 2, skilled, 1, yes, yes, good.
no-account, 18, duly-till-now, furniture, 3422, less100DM, over-seven, 4, single-male, none, 4, building-society, 47, bank, own, 3, skilled, 2, no, yes, good.
0DM, 12, bank-paid-duly, retraining, 339, less100DM, over-seven, 4, married-male, none, 1, car, 45, bank, own, 1, unskilled-resident, 1, yes, yes, good.
no-account, 27, duly-till-now, repairs, 5190, unknown, over-seven, 4, single-male, none, 4, building-society, 48, none, own, 4, skilled, 2, no, yes, good.
no-account, 18, delay, furniture, 1808, less100DM, seven-years, 4, female-divorced, none, 1, real-estate, 22, none, own, 1, skilled, 1, yes, yes, bad.
0DM, 30, duly-till-now, repairs, 11998, less100DM, one-year, 1, male-divorced, none, 1, none, 34, none, own, 1, unskilled-resident, 1, no, yes, bad.
less-200DM, 18, duly-till-now, business, 1941, over1000DM, four-years, 4, single-male, none, 2, building-society, 35, none, own, 1, unskilled-resident, 1, no, yes, good.
no-account, 12, critical, radio-tv, 618, less100DM, over-seven, 4, single-male, none, 4, real-estate, 56, none, own, 1, skilled, 1, yes, yes, good.
no-account, 10, duly-till-now, new-car, 1418, less500DM, four-years, 3, single-male, none, 2, real-estate, 35, none, rent, 1, unskilled-resident, 1, yes, no, good.
no-account, 12, critical, business, 1412, less100DM, four-years, 4, female-divorced, guarantor, 2, real-estate, 29, none, own, 2, management, 1, no, yes, good.
0DM, 48, critical, used-car, 6331, less100DM, over-seven, 4, single-male, none, 4, none, 46, none, free, 2, skilled, 1, no, yes, bad.
0DM, 12, critical, new-car, 4843, less100DM, over-seven, 3, single-male, co-applicant, 4, building-society, 43, none, rent, 2, skilled, 1, no, yes, bad.
less-200DM, 9, duly-till-now, education, 1199, less100DM, seven-years, 4, female-divorced, none, 4, building-society, 67, none, own, 2, management, 1, no, yes, good.
0DM, 12, critical, used-car, 1409, less100DM, over-seven, 4, single-male, none, 3, real-estate, 54, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 13, critical, radio-tv, 882, less100DM, one-year, 4, single-male, guarantor, 4, real-estate, 23, none, own, 2, skilled, 1, yes, yes, good.
less-200DM, 18, duly-till-now, business, 2622, less500DM, four-years, 4, single-male, none, 4, car, 34, none, own, 1, skilled, 1, yes, yes, good.
no-account, 24, duly-till-now, furniture, 5511, less500DM, four-years, 4, single-male, none, 1, car, 25, stores, own, 1, skilled, 1, yes, yes, good.
no-account, 9, duly-till-now, furniture, 1388, less100DM, four-years, 4, female-divorced, none, 2, real-estate, 26, none, rent, 1, skilled, 1, yes, yes, good.
0DM, 6, duly-till-now, furniture, 1374, less100DM, four-years, 1, single-male, none, 2, real-estate, 36, bank, own, 1, unskilled-resident, 1, no, yes, good.
less-200DM, 48, duly-till-now, new-car, 6560, less500DM, seven-years, 3, single-male, none, 2, building-society, 24, none, own, 1, skilled, 1, yes, yes, bad.
no-account, 60, duly-till-now, radio-tv, 10144, less500DM, seven-years, 2, female-divorced, none, 4, real-estate, 21, none, own, 1, skilled, 1, no, yes, good.
0DM, 16, critical, new-car, 2625, less100DM, over-seven, 2, single-male, guarantor, 4, building-society, 43, bank, rent, 1, skilled, 1, no, yes, bad.
no-account, 12, critical, furniture, 3331, less100DM, over-seven, 2, single-male, none, 4, building-society, 42, stores, own, 1, skilled, 1, yes, yes, good.
less-200DM, 48, bank-paid-duly, new-car, 12169, unknown, unemployed, 4, single-male, co-applicant, 4, none, 36, none, free, 1, management, 1, no, yes, good.
no-account, 15, duly-till-now, radio-tv, 1979, unknown, over-seven, 4, single-male, none, 2, car, 35, none, own, 1, skilled, 1, yes, yes, good.
no-account, 10, duly-till-now, new-car, 1309, unknown, four-years, 4, single-male, guarantor, 4, building-society, 27, none, own, 1, unskilled-resident, 1, yes, yes, bad.
over-200DM, 12, critical, new-car, 939, less1000DM, seven-years, 4, married-male, none, 2, real-estate, 28, none, own, 3, skilled, 1, no, yes, bad.
less-200DM, 21, critical, furniture, 2745, over1000DM, seven-years, 3, single-male, none, 2, car, 32, none, own, 2, skilled, 1, no, yes, good.
0DM, 12, duly-till-now, radio-tv, 1680, less1000DM, over-seven, 3, married-male, none, 1, real-estate, 35, none, own, 1, skilled, 1, yes, yes, good.
0DM, 36, delay, business, 2145, less100DM, seven-years, 2, single-male, none, 1, car, 24, none, own, 2, skilled, 1, no, yes, bad.
less-200DM, 36, duly-till-now, education, 12612, less500DM, four-years, 1, single-male, none, 4, none, 47, none, free, 1, skilled, 2, no, yes, bad.
0DM, 12, duly-till-now, new-car, 2579, less100DM, one-year, 4, single-male, none, 1, real-estate, 33, none, own, 1, unskilled-resident, 2, yes, yes, bad.
0DM, 36, duly-till-now, furniture, 5179, less100DM, seven-years, 4, single-male, none, 2, building-society, 29, none, own, 1, skilled, 1, yes, yes, bad.
0DM, 24, bank-paid-duly, furniture, 2828, less1000DM, four-years, 4, single-male, none, 4, real-estate, 22, stores, own, 1, skilled, 1, no, yes, good.
0DM, 24, duly-till-now, radio-tv, 2439, less100DM, one-year, 4, female-divorced, none, 4, real-estate, 35, none, own, 1, skilled, 1, no, yes, bad.
less-200DM, 24, critical, furniture, 4736, less100DM, one-year, 2, female-divorced, none, 4, car, 25, bank, own, 1, unskilled-resident, 1, yes, yes, bad.
0DM, 48, all-paid-duly, furniture, 7119, less100DM, four-years, 3, single-male, none, 4, none, 53, none, free, 2, skilled, 2, yes, yes, bad.
no-account, 10, duly-till-now, new-car, 1364, less100DM, four-years, 2, female-divorced, none, 4, car, 64, none, own, 1, skilled, 1, no, yes, good.
no-account, 12, critical, business, 1264, unknown, over-seven, 4, single-male, none, 4, none, 57, none, rent, 1, unskilled-resident, 1, yes, yes, good.
no-account, 15, bank-paid-duly, radio-tv, 1569, less500DM, over-seven, 4, single-male, none, 4, car, 34, bank, own, 1, unskilled-resident, 2, yes, yes, good.
no-account, 15, duly-till-now, new-car, 3556, unknown, four-years, 3, single-male, none, 2, none, 29, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 15, duly-till-now, repairs, 2631, less500DM, four-years, 3, female-divorced, none, 2, real-estate, 25, none, own, 1, unskilled-resident, 1, yes, yes, good.
0DM, 12, duly-till-now, furniture, 708, less100DM, four-years, 2, single-male, guarantor, 3, building-society, 38, none, own, 1, unskilled-resident, 2, yes, yes, good.
less-200DM, 24, critical, new-car, 3878, less500DM, one-year, 4, male-divorced, none, 2, car, 37, none, own, 1, skilled, 1, no, yes, good.
no-account, 24, critical, radio-tv, 2424, unknown, over-seven, 4, single-male, none, 4, building-society, 53, none, own, 2, skilled, 1, yes, yes, good.
0DM, 6, duly-till-now, new-car, 1203, less500DM, over-seven, 3, single-male, none, 2, building-society, 43, none, own, 1, skilled, 1, no, yes, good.
no-account, 18, duly-till-now, repairs, 1943, less100DM, one-year, 4, female-divorced, none, 4, real-estate, 23, none, own, 1, skilled, 1, yes, yes, bad.
no-account, 12, all-paid-duly, furniture, 2759, less100DM, over-seven, 2, single-male, none, 4, building-society, 34, none, own, 2, skilled, 1, yes, yes, good.
0DM, 21, critical, new-car, 1602, less100DM, over-seven, 4, married-male, none, 3, car, 30, none, own, 2, skilled, 1, no, yes, good.
less-200DM, 9, duly-till-now, furniture, 918, less100DM, four-years, 4, female-divorced, none, 1, building-society, 30, none, own, 1, skilled, 1, yes, yes, bad.
no-account, 48, critical, business, 7629, unknown, over-seven, 4, male-divorced, none, 2, car, 46, bank, own, 2, management, 2, yes, yes, good.
no-account, 18, duly-till-now, radio-tv, 1473, less100DM, one-year, 3, married-male, none, 4, real-estate, 39, none, own, 1, skilled, 1, no, yes, good.
less-200DM, 24, duly-till-now, radio-tv, 1967, less100DM, over-seven, 4, female-divorced, none, 4, car, 20, none, own, 1, skilled, 1, no, yes, good.
0DM, 12, bank-paid-duly, new-car, 697, less100DM, one-year, 4, single-male, none, 2, car, 46, bank, own, 2, skilled, 1, no, yes, bad.
less-200DM, 18, delay, business, 2427, unknown, over-seven, 4, single-male, none, 2, building-society, 42, none, own, 2, skilled, 1, yes, yes, good.
0DM, 12, critical, radio-tv, 385, less100DM, seven-years, 4, female-divorced, none, 3, real-estate, 58, none, own, 4, unskilled-resident, 1, no, yes, good.
less-200DM, 36, delay, business, 4455, less100DM, four-years, 2, male-divorced, none, 2, real-estate, 30, stores, own, 2, management, 1, no, yes, bad.
less-200DM, 12, duly-till-now, new-car, 1295, less100DM, one-year, 3, female-divorced, none, 1, car, 25, none, rent, 1, skilled, 1, yes, yes, bad.
less-200DM, 9, duly-till-now, furniture, 2030, unknown, seven-years, 2, single-male, none, 1, car, 24, none, own, 1, skilled, 1, no, yes, good.
0DM, 48, duly-till-now, new-car, 7763, less100DM, over-seven, 4, single-male, none, 4, none, 42, bank, free, 1, management, 1, yes, yes, bad.
no-account, 18, critical, used-car, 3850, less100DM, seven-years, 3, single-male, none, 1, car, 27, none, own, 2, skilled, 1, yes, yes, good.
no-account, 36, duly-till-now, business, 5742, less500DM, seven-years, 2, single-male, none, 2, car, 31, none, own, 2, skilled, 1, no, yes, good.
0DM, 24, duly-till-now, furniture, 7721, unknown, one-year, 1, female-divorced, none, 2, building-society, 30, none, own, 1, skilled, 1, no, no, good.
no-account, 36, critical, used-car, 5711, over1000DM, over-seven, 4, single-male, none, 2, car, 38, none, own, 2, management, 1, no, yes, good.
no-account, 12, critical, new-car, 926, less100DM, unemployed, 1, female-divorced, none, 2, building-society, 38, none, own, 1, unemployed-non-resident, 1, yes, yes, good.
no-account, 6, duly-till-now, new-car, 672, less100DM, unemployed, 1, female-divorced, none, 4, real-estate, 54, none, own, 1, unemployed-non-resident, 1, no, yes, good.
no-account, 24, delay, new-car, 2538, less100DM, over-seven, 4, single-male, none, 4, car, 47, none, own, 2, unskilled-resident, 2, yes, yes, bad.
no-account, 12, duly-till-now, radio-tv, 1493, less100DM, one-year, 4, female-divorced, none, 3, car, 34, none, own, 1, skilled, 2, yes, yes, good.
no-account, 30, critical, radio-tv, 4530, less100DM, seven-years, 4, female-divorced, none, 4, car, 26, none, rent, 1, management, 1, no, yes, good.
less-200DM, 12, critical, new-car, 3124, less100DM, one-year, 1, single-male, none, 3, real-estate, 49, bank, own, 2, unskilled-resident, 2, yes, yes, good.
no-account, 6, duly-till-now, furniture, 2978, less1000DM, four-years, 1, single-male, none, 2, car, 32, none, own, 1, skilled, 1, no, yes, good.
0DM, 12, critical, new-car, 2121, less100DM, four-years, 4, single-male, none, 2, building-society, 30, none, own, 2, skilled, 1, yes, yes, good.
no-account, 24, duly-till-now, radio-tv, 5943, unknown, one-year, 1, female-divorced, none, 1, car, 44, none, own, 2, skilled, 1, no, yes, bad.
no-account, 12, delay, used-car, 1503, less100DM, four-years, 4, married-male, none, 4, real-estate, 41, none, rent, 1, skilled, 1, yes, yes, good.
no-account, 12, duly-till-now, used-car, 1413, over1000DM, seven-years, 3, single-male, none, 2, building-society, 55, none, own, 1, skilled, 1, yes, no, good.
over-200DM, 36, duly-till-now, radio-tv, 4473, less100DM, over-seven, 4, single-male, none, 2, car, 31, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 30, all-paid-duly, business, 4221, less100DM, four-years, 2, female-divorced, none, 1, car, 28, none, own, 2, skilled, 1, yes, yes, good.
0DM, 24, duly-till-now, radio-tv, 1938, less100DM, one-year, 4, male-divorced, none, 3, building-society, 32, none, own, 1, skilled, 1, yes, yes, bad.
less-200DM, 20, duly-till-now, used-car, 6468, unknown, unemployed, 1, male-divorced, none, 4, real-estate, 60, none, own, 1, management, 1, no, yes, good.
0DM, 48, duly-till-now, radio-tv, 6999, less100DM, seven-years, 1, married-male, guarantor, 1, real-estate, 34, none, own, 2, skilled, 1, no, yes, bad.
0DM, 24, critical, business, 1382, less500DM, seven-years, 4, single-male, none, 1, real-estate, 26, none, own, 2, skilled, 1, no, yes, good.
0DM, 24, bank-paid-duly, furniture, 2483, less1000DM, four-years, 4, single-male, none, 4, real-estate, 22, stores, own, 1, skilled, 1, no, yes, good.
no-account, 24, duly-till-now, new-car, 2255, unknown, one-year, 4, single-male, none, 1, building-society, 54, none, own, 1, skilled, 1, yes, yes, good.
0DM, 36, duly-till-now, new-car, 1842, less100DM, one-year, 4, female-divorced, none, 4, car, 34, none, own, 1, skilled, 1, no, yes, bad.
over-200DM, 12, duly-till-now, radio-tv, 3016, less100DM, four-years, 3, married-male, none, 1, car, 24, none, own, 1, skilled, 1, yes, yes, good.
over-200DM, 18, duly-till-now, furniture, 3049, less100DM, one-year, 1, female-divorced, none, 1, building-society, 45, stores, own, 1, unskilled-resident, 1, yes, yes, good.
over-200DM, 24, duly-till-now, radio-tv, 1377, less500DM, over-seven, 4, female-divorced, none, 2, none, 47, none, free, 1, skilled, 1, no, yes, good.
no-account, 15, duly-till-now, radio-tv, 1386, unknown, four-years, 4, married-male, none, 2, real-estate, 40, none, rent, 1, skilled, 1, no, yes, good.
less-200DM, 48, bank-paid-duly, business, 6416, less100DM, over-seven, 4, female-divorced, none, 3, none, 59, none, rent, 1, skilled, 1, yes, yes, bad.
0DM, 24, duly-till-now, furniture, 3149, less100DM, one-year, 4, single-male, none, 1, none, 22, bank, free, 1, skilled, 1, yes, yes, good.
no-account, 24, critical, radio-tv, 2611, less100DM, over-seven, 4, married-male, co-applicant, 3, real-estate, 46, none, own, 2, skilled, 1, yes, yes, good.
0DM, 12, delay, new-car, 1344, less100DM, four-years, 4, single-male, none, 2, real-estate, 43, none, own, 2, unskilled-resident, 2, yes, yes, good.
no-account, 12, duly-till-now, business, 1542, less100DM, seven-years, 2, single-male, none, 4, car, 36, none, own, 1, skilled, 1, no, yes, good.
no-account, 30, critical, radio-tv, 6742, unknown, seven-years, 2, single-male, none, 3, building-society, 36, none, own, 2, skilled, 1, yes, yes, good.
0DM, 24, duly-till-now, radio-tv, 1987, less100DM, four-years, 2, single-male, none, 4, real-estate, 21, none, rent, 1, unskilled-resident, 2, yes, yes, bad.
0DM, 9, critical, radio-tv, 1138, less100DM, four-years, 4, single-male, none, 4, real-estate, 25, none, own, 2, unskilled-resident, 1, yes, yes, good.
no-account, 24, critical, repairs, 5507, less100DM, over-seven, 3, single-male, none, 4, none, 44, none, free, 2, skilled, 1, yes, yes, good.
less-200DM, 12, duly-till-now, new-car, 1223, less100DM, over-seven, 1, male-divorced, none, 1, real-estate, 46, none, rent, 2, skilled, 1, yes, yes, bad.
over-200DM, 24, critical, new-car, 1344, unknown, seven-years, 4, single-male, none, 2, real-estate, 37, bank, own, 2, unskilled-resident, 2, yes, yes, bad.
